team,nationality
 ,848
#ULTRATRAILRUNNER,1
091081,1
1. FC UNION BERLIN E.V.,1
100 MARATHON CLUB,1
100% TRAIL ANGERS,2
100KM.RU,1
17 Groupe d'artillerie,1
2AS CLUB D'ATHLETISME BELLEU,1
2NDSKIN ASIA,1
42 KM,1
4X TEAM/GORDO,1
7 WINDS,1
7RAID,1
7SIG TRC,1
A TO TRAPO,3
A.D. MOAL,2
A.D. MONTANA PEGASO,1
A.D. SATORRA,1
A.D.AMARANTE TRAIL RUNNING / APT,1
A.D.GRUPO MONTANA PEGASO,1
A.D.MOAL,1
A.S.D ATINA TRAIL RUNNING,1
A.S.D. COURMAYEUR TRAILERS,1
A.S.D. PODISTICA VALLE VARAITA,1
A.S.D. VERONA TRAIL RUNNERS,2
A2A|DEMENCIAL|ROUTE,1
AAEE EPERNON,1
AASM,1
ABOVE2000,1
ABOVE2000.COM,1
AC DRAVEIL,1
AC WAMBRECHIES,1
ACE BOMBERS BARCELONA,1
ACIGNE JOGGING,1
ACVA,1
ACVS,1
AD GRUPO MONTANA PEGASO,1
ADELAIDE HARRIERS,1
ADN PONTA DO SOL,1
ADS LES ARCS,1
ADVENTURE RUNNERS,1
ADVENTURE: GLOBE,1
AGERRA MENDI TALDEA,1
AGNETZ ATHETISME - OGR60,1
AGONES SFC,1
AHIRU CLUB,1
AIA VITALITY,1
AICS,1
AIIIIIIIADELANTE TEAM,1
AIX ATHLE PROVENCE,4
AJ AUXERRE MARATHON,1
AKABEKO / OHTA RUNNING TEAM,1
ALD-CHARITY,1
ALIOR RUNNING TEAM,1
ALL BLACKS SHIZUOKA,1
ALPENRUNNERS,1
ALPINO BENALMADENA,1
ALPINO BENALMADENA IRONTRIATH,3
ALPINO DE BENALMADENA AIRONTRIATH,1
ALPINO TABIRA,1
ALPV,1
ALQUIMISTAS,1
ALQUIMISTAS RUNNING TEAM,1
"ALTERIA CO., LTD.",1
AMATORI SPORT SERRAVALLE SESIA,1
AMICI DELLO SPORT BRIOSCO,1
AMIGOS DO PEDAL TRAIL DE LAGARES,1
AML SPORT HG - MERIDIANO 0,1
AMSL FREJUS,1
AMSLF OXUBII,1
ANIMAL TEMUCO,1
ANSTER HADDIES,1
ANYERA CEUTA,1
APD PIETRO MICCA,1
APT / RUNBABYRUN,1
APUKO IGOERA,1
AR TRAIL TEAM,1
ARAIKANI,1
ARISTA,1
ARKA GDYNIA,1
ARSL ROCHE,1
ART NORMANDIE,1
AS AGNETZ OGR60,1
AS CALUIRE,1
AS CEA GR,1
ASA DU BERRY,1
ASC EUROCLEAR,1
ASCEA,1
ASD AVIS FOIANO,1
ASD AVIS STIAVA (UISP),1
ASD DRAGONERO,1
ASD OLIMPICAORLE,1
ASD PODISTICA PERALTO GENOVA,1
ASD SILVANO FEDI,1
ASD TRAILLAB,1
ASD VERONA TRAIL RUNNERS,1
ASFAS TRI,1
ASICS,1
ASICS FrontRunner UK,1
ASICS- CDSOHAILLASENDA,1
ASOCIATIA AIUD SPORT,1
ASODENA,1
ASPH 34,1
ASPTT COMPIEGNE,1
ASR TRAIL78 / Kikourou,1
ASRHV,2
ASS. ESP. INTEMPERIE,1
ASS. EXC. CORNUDELLA DE MONTSANT,1
ASVEL ATHLE,1
ASVEL TRIATHLON,1
AT YOUR PACE TRAIL TEAM,1
ATHLE VOSGES,1
ATLETICRUN,1
ATLETISME SAGUNT,1
AUBAGNE TRIATHLON,1
AVLO,1
AVOC,1
AVPR,1
AXA SPORTS ET LOISIRS,1
AYDOS537,1
Andes2Alpes - Merrell/Motorola,1
Asics,1
Ayr Seafoth AAC,1
B-CAT HIGH ALTITUDE TRAIL RUNNING,1
BAG AND BAG,1
BANDA DEI MALANDRINI ASD,1
BARBEITOS TEAM,1
"BATS,KTC",1
BB RUNNERS,1
BDG EXPLORER,1
BEAT YOUR LIMIT!,1
BEKO RUNNING TEAM,1
BELFAST ASSOCIATION OF ROCKCLIMBERS &amp; FELLRUNNERS,1
BERNOSPORT.SK,1
BFAGENCJA.PL,1
BFC,1
BGSA,1
BICHOS RUNNERS,1
BIGOREX TEAM,1
BIN/ENJAMBÉE,1
BNA,1
BOL D'AIRBUS,1
BORD'S TRAILERS,1
BRACTWO BIEGACZY ZIELONA GORA,2
BRATS,1
BRIGADA DE RESCATE ANDINO DEL MAULE,1
BRISTOL &amp; WEST AC,1
BRUNO BRUNOD RACING TEAM,2
BRUSSELSBLUEMOONH3,1
BTR PROTEAM,1
BUDDY BLACK,1
BUFF PRO TEAM,1
C.A. DIANIUM TURURAC,2
C.A. MARATHON CREVILLENT,1
C.D. UMAX TRAIL,1
CA BRIOUDE,1
CA DENTS DU MIDI,3
CA DIANIUM-TURURAC SPORT,1
CA PICTAVE,1
CA PLAINE DES CAFRES,1
CAES D'AVENIDA,1
CAES D´AVENIDA,1
CAFES TOSCAF G.M.E.A.,1
CAHORS TRAIL,1
CAI CITTADELLA,1
CAP BOLLENE,1
CAP D'AIL MACADAM,1
CAP ENDURANCE,2
CAP SANOFI VRAC,1
CASO AIRBUS,1
CCA ROUFFACH,1
CD ARISTA,1
CDA PALACIEGO,2
CEMAC TOLUCA,1
CENTRE DEUX ROUES,1
CENTRE EXCURSIONISTA DEL PENEDES,1
CENTRE EXTA. CALLUS,1
CENTRO EXCURSIONISTA DE BIAR,1
CEP,1
CER,1
CERRAJERIA JUANCHU TEAM -REND&amp;PREV;,1
CERREDO 643,2
CEVENNES TRAIL CLUB,1
CEVENRAID,1
CH'TRAILER TEAM 62,1
CHARI RUN YA,1
CHESTER TRI CLUB,1
CICLO CLUB QUOTA MILLE,1
CICLO CLUB QUOTA MILLE CORTONA,1
CIMAVILLA RUNNING TEAM,2
CIUCAS X3,1
CLCS FIRMINY,1
CLIPS - PPU,1
CLUB 26 ALLAN,1
CLUB ALPI PALAMOS,1
CLUB ALPINO MADRILENO,1
CLUB CICLISTA GUERRER DE MOIXENT,2
CLUB DE MONTANA Y ESCALADA LOS MACHACAPIEDRAS,1
CLUB DE TRAIL ERABLIERE AU BOISE DU LAC,1
CLUB MAD,1
CLUB MANIKOU,1
CLUB MONTANA DE CHICLANA,1
CLUB SA MILANA - ALARO,1
CLUB SPORTIF IBM NICE SOPHIA,1
CLUB TRAIL ALBACETE,1
CLUB VASCO DE CAMPING,1
CLUBE ANACOM,1
CLUBE ATLETISMO FAFE,1
CLUBE DE MONTANHA DO FUNCHAL,2
CLUBE SOSI,1
CMBM,1
CMCAS,1
CMG SPORTS CLUB,1
CMOF,1
COACH SPORT SANTE,1
COACHOLI,1
COFFEE XIAOLEHUI,1
COLLA EL PAROTET,2
COLUMBIA,5
COMANDO CAVALLS,2
COMANDO GUADARRAMA,1
COMPRESSPORT,1
COMPRESSPORT INTERNATIONAL,1
CORCY ENDURANCE,1
CORRE CORRE ALMERIA,1
CORREMON TRAIL,3
CORSICA RUN X TREM,1
CORSICA RUN XTREM,1
COTEN'TRAIL,2
COTENTRAIL,2
COURIR LE MONDE,1
COURIR PAYS DE GRASSE,1
COYOTES TENERIFE TRAIL,1
CREWSTACH,4
CROSSCALL,1
CSM RUPICAPRA / Beck et al. Services,1
CUF,1
CXM VALENCIA,1
"CYARIRUN-YA,RUNDEZ-VOUS",1
CZ&amp;SK-INOV8; TEAM,1
Chemios&amp;Co;,1
DALIAN 100K,1
DANIEL SIMBRON,1
DANIEL SIMBRON RUNNING TEAM,2
DARK PEAK FELL RUNNERS,1
DECINES MEYZIEU ATHLETISME,1
DJK SCHW. GMUND,1
DO NOT TIME FOR SMILING,1
DOA,2
DREAM SUB 3,1
DSA,1
DU SUZON A LA VAREZE,1
DURHAM FELL RUNNERS,1
EA MACON,1
EA VILLEFRANCHE,1
EBS SIEBIEGA CK,1
EFCC KONG FOK CHURCH,2
ENDURANCE,1
ENJAKA,1
ENPHORMA,1
EQUIPO KENIATA,1
ERLAITZ M.E.,1
ERRANCE REIMS EUROPE CLUB,1
ES FALAISE ATHLETISME,1
ES LIVAROT RUNNING,1
ES PUIG,3
ESCUELA RUNNING CEM,1
ESK VALLEY FELL CLUB,1
ESKILSTUNA TRAILKLUBB,1
ESPARTANOS,1
ESPRIT TRAIL ANJOU,1
ESPUNA TRAIL,1
ESR,2
ESTY,1
EXITO GIPFELSTURMER,1
EZK TEAM BRAZIL,1
Engine Bird,2
FAC,1
FAITHWALKERS,5
FAKU CHIEFS,1
FALCOTRAIL CEHEGIN,3
FANCH RIDER TRAIL,1
FETERNES,1
FGT-TEAM,1
FH OO SPORTS TEAM,1
FIFE ATHLETICS CLUB,1
FIT &amp; FUN GYM,1
FLOGA,1
FLYING BOOSTY,3
FONDATION POUR LES MALADIES RARES,1
FOOTING CLUB,1
FORMA-TRAIL,1
FOULEES DE SAINT GERMAIN,1
FRECCE GIALLE MALCANTONE,1
FREEADVENTURE,1
FREIBICHL TRAIL,1
FUN ADVENTURE TRAILRUN TEAM,1
GAILURRERANTZ,1
GAM,1
GAMTE,1
